loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets
1,2,Graduate,No,9600,29900,12,778,4800,35200,45400,16000,Approved,101400
2,0,Not Graduate,Yes,4100,12200,8,417,5400,4400,17600,6600,Approved,34000
3,3,Graduate,No,9100,29700,20,506,14200,9000,66600,25600,Approved,115400
4,3,Graduate,No,8200,30700,8,467,36400,6600,46600,15800,Approved,105400
5,5,Not Graduate,Yes,9800,24200,20,382,24800,16400,58800,10000,Rejected,110000
6,0,Graduate,Yes,4800,13500,10,319,13600,16600,27400,10200,Rejected,67800
7,5,Graduate,No,8700,33000,4,678,45000,29600,58400,8600,Approved,141600
8,2,Graduate,Yes,5700,15000,20,382,26400,11400,23600,12000,Rejected,73400
9,0,Graduate,Yes,800,2200,20,782,2600,1600,5600,1200,Approved,11000
10,5,Not Graduate,No,1100,4300,10,388,6400,2800,6600,3200,Rejected,19000
11,4,Graduate,Yes,2900,11200,2,547,16200,9400,19000,6200,Approved,50800
12,2,Not Graduate,Yes,6700,22700,18,538,30600,11600,40800,12800,Approved,95800
13,3,Not Graduate,Yes,5000,11600,16,311,12800,19200,29200,8600,Rejected,69800
14,2,Graduate,Yes,9100,31500,14,679,21600,33200,41800,10000,Approved,106600
15,1,Not Graduate,No,1900,7400,6,469,3800,2400,11800,3800,Rejected,21800
16,5,Not Graduate,No,4700,10700,10,794,11400,7800,32800,8800,Approved,60800
17,2,Graduate,Yes,500,1600,4,663,2600,200,2600,1400,Approved,6800
18,4,Not Graduate,Yes,2900,9400,14,780,5800,5600,13400,8600,Approved,33400
19,2,Graduate,No,2700,10300,10,736,2000,0,12400,6600,Approved,21000
20,5,Graduate,No,6300,14600,12,652,20600,7000,47000,11800,Approved,86400
21,2,Graduate,No,5000,19400,12,315,19000,3200,36000,12200,Rejected,70400
22,4,Graduate,No,5800,14000,16,530,7600,22600,44400,10800,Approved,85400
23,4,Graduate,Yes,6500,25700,18,311,26200,3400,39000,17000,Rejected,85600
24,0,Not Graduate,Yes,500,1400,2,551,1800,1200,2200,600,Rejected,5800
25,0,Not Graduate,No,4900,9800,16,324,7600,17400,20000,6600,Rejected,51600
26,5,Not Graduate,No,3100,9500,20,514,15800,6200,13200,5200,Approved,40400
27,4,Graduate,No,8200,28100,12,696,23000,21200,50600,14400,Approved,109200
28,4,Not Graduate,Yes,2400,5600,4,662,9000,8400,10800,5000,Approved,33200
29,5,Not Graduate,Yes,7000,24000,6,336,4600,23800,55000,19400,Rejected,102800
30,3,Not Graduate,Yes,9000,31500,10,850,43600,24800,67400,16000,Approved,151800
31,2,Not Graduate,No,9800,25300,12,313,40400,10400,51000,18600,Rejected,120400
32,2,Graduate,No,5700,12000,6,363,7200,14800,43400,8600,Rejected,74000
33,1,Not Graduate,Yes,800,1600,10,436,1400,400,4400,2000,Approved,8200
34,5,Not Graduate,Yes,8400,22000,2,830,7600,7800,39800,10800,Rejected,66000
35,3,Graduate,No,4900,11900,8,612,19400,2400,38000,11600,Approved,71400
36,2,Graduate,Yes,1700,3400,8,691,5400,5600,12000,1800,Approved,24800
37,3,Not Graduate,No,1600,6200,18,636,6800,1400,10600,2800,Approved,21600
38,5,Graduate,Yes,8000,27200,6,348,12800,600,33400,14200,Rejected,61000
39,5,Graduate,No,3600,7700,16,830,14000,2600,20000,5800,Approved,42400
40,3,Not Graduate,Yes,1500,5100,6,352,200,400,11200,1800,Rejected,13600
41,1,Graduate,No,7800,18100,2,712,17200,22400,43400,18000,Rejected,101000
42,2,Not Graduate,No,9100,24900,16,822,44600,24200,62000,10400,Approved,141200
43,3,Graduate,No,1400,3400,6,540,400,3000,7800,1600,Approved,12800
44,2,Graduate,Yes,800,2300,12,342,4400,2600,3600,1600,Rejected,12200
45,5,Graduate,No,6500,13400,18,787,36400,600,32400,10800,Approved,80200
46,4,Graduate,No,8000,27800,16,331,26000,12600,42800,21800,Rejected,103200
47,3,Not Graduate,Yes,4200,14600,6,679,4800,13800,17400,9800,Approved,45800
48,1,Graduate,Yes,4900,19100,14,677,10800,18200,35400,13000,Approved,77400
49,3,Not Graduate,No,5500,20500,12,634,1600,17200,37000,16400,Approved,72200
50,1,Not Graduate,Yes,9500,19100,16,662,200,21000,75400,23400,Approved,120000
51,4,Graduate,No,7300,25400,16,502,1000,3600,41000,21000,Approved,66600
52,2,Graduate,No,8700,24700,10,435,13600,7000,43600,22600,Approved,86800
53,5,Not Graduate,No,3800,7600,4,689,17400,200,18600,6800,Approved,43000
54,1,Not Graduate,Yes,8400,23000,12,657,30800,29600,63800,16400,Approved,140600
55,2,Graduate,Yes,5100,19700,20,590,14800,18600,38800,6800,Approved,79000
56,5,Not Graduate,No,6700,24500,12,818,2400,11200,32600,12400,Approved,58600
